date,added,deleted,commits
2020-11-19,19501,124,7
2020-11-26,62,37,3
2020-12-01,168,27,9
2020-12-03,592,26,6
2020-12-04,574,56,9
2020-12-07,3597,227,3
2020-12-08,10,0,1
2020-12-14,929,27,3
2020-12-15,157,239,8
2020-12-16,65,122,1
2020-12-21,489,102,1
2021-01-06,281,31,1
2021-01-07,130,128,1
2021-01-08,61,2,1
2021-01-11,53,7,1
2021-01-12,593,185,1
2021-01-14,452,452,2
2021-01-18,280,46,1
2021-01-20,217,0,1
2021-01-21,255,81,8
2021-01-25,141,33,3
2021-01-26,178,71,7
2021-01-27,102,38,6
2021-01-28,9,0,1
2021-02-01,158,121,8
2021-02-02,8,8,1
2021-02-04,523,135,5
2021-02-05,6,2,3
2021-02-08,1,1,1
2021-02-09,1,1,1
2021-02-10,259,138,2
2021-02-18,25,0,1
2021-02-22,258,50,1
2021-02-23,419,475,3
2021-02-25,224,60,2
2021-03-02,3793,2265,2
2021-03-03,26,17,3
2021-03-04,62,53,1
2021-03-05,100,53,2
2021-03-08,973,325,1
2021-03-09,10517,6231,3
2021-03-11,4,0,1
2021-03-12,14,17,3
2021-03-15,25,22,7
2021-03-16,98,45,18
2021-03-17,51,51,14
2021-03-18,61,171,14
2021-03-19,8,1,2
2021-03-23,187,38,7
2021-03-24,32,22,3
2021-03-25,69,12,2
2021-03-29,233,194,3
2021-03-30,79,59,4
2021-03-31,1,1,1
2021-04-01,11,5,1
